Stores,Store Code,Description,Barcode,Retail Price,Sold Price,Last Sold,Avg Wkly Sales,Competitor,Price Check Date,Competitor Price,Diff (€),Diff (%),Match Cost (PW),Offer,Details
5,11183,CARROLL LASAGNE FRESH 1KG,5099338200287,7.27,7.27,23/02/2018,56,Tesco Ireland Website,25/02/2018,6.15,1.12,0.1821,62.72,,
4,193732,KENCO MILLICANO TIN 100G,8711000519141,6.89,6.89,23/02/2018,55,Super Value Website,25/02/2018,3.5,3.39,0.9685,186.45,Special Offer,Feb 15th - Mar 7th
5,1212,FLORA PRO ACTIV LIGHT 500G,5000118050251,5.99,5.99,23/02/2018,55,Tesco Ireland Website,25/02/2018,4,1.99,0.4975,109.45,SAVE 1.99 Was 5.99 Now 4.00,valid from 31/1/2018 until 27/2/2018
5,155065,GALTEE BLOCK 200G,5011069164997,2.5,2.5,23/02/2018,55,Tesco Ireland Website,25/02/2018,2,0.5,0.25,27.5,,
5,160603,CULLY & SULLY CHOWDER 400G,5391511420780,2.49,2.49,23/02/2018,55,Super Value Website,25/02/2018,2,0.49,0.245,26.95,Special Offer,Feb 15th - Mar 6th
5,1375,ACTIVIA 0% PEACH 4PK 4X125G,3033491117084,2.39,2.39,23/02/2018,55,Tesco Ireland Website,25/02/2018,2,0.39,0.195,21.45,Only 2.00 Danone Activia 0% Fat Pe...,valid from 31/1/2018 until 27/2/2018
5,142777,PAT THE BAKER WHOLEGRAIN HALF 400G,5011041002286,1.48,1.48,23/02/2018,55,Tesco Ireland Website,25/02/2018,1.4,0.08,0.0571,4.4,,
3,25489,EVIAN MINERAL WATER 6PK 6X1.5LTR,3068320040127,6.99,6.99,27/01/2018,54,Tesco Ireland Website,25/02/2018,5.45,1.54,0.2825,83.16,,
5,5365,CLUB ROCK SHANDY 500ML,5011026008128,1.59,1.59,23/02/2018,54,Tesco Ireland Website,25/02/2018,1.29,0.3,0.2325,16.2,,
3,29927,LINDT LINDOR MILK CORNET 200G,8003340090535,6.99,6.99,23/02/2018,54,Tesco Ireland Website,25/02/2018,5.5,1.1583,0.2106,62.5482,Only 5.50 Lindt Lindor Milk Chocol...,valid from 15/2/2018 until 6/3/2018
5,138404,TUC ORIG 100G,5391517593136,1.69,1.69,23/02/2018,54,Tesco Ireland Website,25/02/2018,1.49,0.2,0.1342,10.8,,
5,11352,CAMPO VIEJO RIOJA TEMPRANILLO 75CL,8410302106300,11.99,10.99,23/02/2018,54,Tesco Ireland Website,25/02/2018,10,0.99,0.099,53.46,SAVE 1.99 Was 11.99 Now 10.00,valid from 21/2/2018 until 20/3/2018
5,107080,PAT THE BAKER SL BROWN SMALL 400G,5011041000114,1.48,1.48,23/02/2018,54,Tesco Ireland Website,25/02/2018,1.4,0.08,0.0571,4.32,,
5,190049,PETIT FILOUS FRUBES STR/PEACH/BER 9X40G,3329770056923,2.64,2.64,23/02/2018,53,Tesco Ireland Website,25/02/2018,1.32,1.32,1,69.96,HALF PRICE Was 2.64 Now 1....,valid from 31/1/2018 until 27/2/2018
5,192019,JOHNSONS BABY WIPES GENTLE 56S,3574661264844,2.79,1.5,23/02/2018,53,Tesco Ireland Website,25/02/2018,1,0.5,0.5,26.5,SAVE 1.79 Was 2.79 Now 1.00,valid from 20/2/2018 until 19/3/2018
4,155593,CADBURY DAIRY MILK MINT STD RECLOSE 54G,5034660004042,1.35,1.35,23/02/2018,53,Tesco Ireland Website,25/02/2018,1.21,0.14,0.1157,7.42,,
5,137277,GLENISK VANILLA KIDS NAS YOG 4X90G,5099649000385,2.19,2.19,23/02/2018,53,Super Value Website,25/02/2018,2,0.19,0.095,10.07,Special Offer,Feb 15th - Mar 6th
5,145604,CADBURY BOOST BAR 48.5G,5034660522782,1.3,1.3,23/02/2018,52,Super Value Website,25/02/2018,1,0.3,0.3,15.6,Special Offer,Feb 15th - Mar 7th
5,145604,CADBURY BOOST BAR 48.5G,5034660522782,1.3,1.3,23/02/2018,52,Tesco Ireland Website,25/02/2018,1,0.3,0.3,15.6,,
